,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
0,1,Fernando Torres,26,€50.00m,10/11,Spain,€58.50m,Centre-Forward,Liverpool,Premier League,Chelsea,Premier League,False,58.5
1,2,Andy Carroll,22,€2.50m,10/11,England,€41.00m,Centre-Forward,Newcastle,Premier League,Liverpool,Premier League,False,41.0
2,3,David Villa,28,€45.00m,10/11,Spain,€40.00m,Centre-Forward,Valencia,LaLiga,Barcelona,LaLiga,False,40.0
3,4,Edin Džeko,24,€30.00m,10/11,Bosnia-Herzegovina,€37.00m,Centre-Forward,Wolfsburg,Bundesliga,Man City,Premier League,False,37.0
4,5,Ángel Di María,22,€9.50m,10/11,"Argentina, Italy",€33.00m,Right Winger,Benfica,Liga ZON Sagres,Real Madrid,LaLiga,False,33.0
5,6,Yaya Touré,27,€18.00m,10/11,"Cote d'Ivoire, England",€30.00m,Central Midfield,Barcelona,LaLiga,Man City,Premier League,False,30.0
6,7,Mario Balotelli,20,€26.00m,10/11,"Italy, Ghana",€29.50m,Centre-Forward,Inter,Serie A,Man City,Premier League,False,29.5
7,8,David Silva,24,€32.00m,10/11,Spain,€28.75m,Attacking Midfield,Valencia,LaLiga,Man City,Premier League,False,28.75
8,9,Luis Suárez,24,€25.00m,10/11,Uruguay,€26.50m,Centre-Forward,Ajax,Eredivisie,Liverpool,Premier League,False,26.5
9,10,David Luiz,23,€14.00m,10/11,Brazil,€25.00m,Centre-Back,Benfica,Liga ZON Sagres,Chelsea,Premier League,False,25.0
10,11,Aleksandar Kolarov,24,€9.00m,10/11,Serbia,€23.86m,Left-Back,Lazio,Serie A,Man City,Premier League,False,23.86
11,12,Yoann Gourcuff,24,€22.50m,10/11,France,€22.00m,Attacking Midfield,G. Bordeaux,Ligue 1,Lyon,Ligue 1,False,22.0
12,13,James Milner,24,€20.00m,10/11,England,€22.00m,Central Midfield,Aston Villa,Premier League,Man City,Premier League,False,22.0
13,14,Bruno Alves,28,€18.00m,10/11,"Portugal, Brazil",€22.00m,Centre-Back,Porto,Liga ZON Sagres,Zenit S-Pb,Premier Liga,False,22.0
14,15,Ramires,23,€14.00m,10/11,Brazil,€22.00m,Central Midfield,Benfica,Liga ZON Sagres,Chelsea,Premier League,False,22.0
15,16,Darren Bent,26,€18.00m,10/11,"England, Jamaica",€21.50m,Centre-Forward,Sunderland,Premier League,Aston Villa,Premier League,False,21.5
16,17,Robinho,26,€28.00m,10/11,"Brazil, Spain",€21.00m,Left Winger,Man City,Premier League,AC Milan,Serie A,False,21.0
17,18,Javier Mascherano,26,€26.00m,10/11,"Argentina, Italy",€20.00m,Defensive Midfield,Liverpool,Premier League,Barcelona,LaLiga,False,20.0
